Usage_kWh,Lagging_Current_Reactive_Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2,Lagging_Current_Power_Factor,NSM,WeekStatus_Weekend,Day_of_week_Monday,Day_of_week_Saturday,Day_of_week_Sunday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Usage_kWh_categorical
-0.05513557115527388,-0.0220021588193452,0.0,0.0,-0.7370754379692528,-0.7916666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.09058195994007781,-0.08823816950402567,0.0,0.0,-0.6618519842688594,-0.6458333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.09058195994007781,-0.11439523968216432,0.0,0.0,-0.5663210582767249,-0.5208333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.06478365175700215,-0.5146212713313351,3.7175796964678702,0.0,0.3352163031819806,-0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.059933872947772915,-0.5146212713313351,3.8483144308709694,0.0,0.3352163031819806,-0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.06757849424079412,-0.5146212713313351,3.7223389351708653,0.0,0.3352163031819806,-0.10416666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.06269880102786195,-0.5146212713313351,3.687676897706206,0.0,0.3352163031819806,0.08333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.06757849424079412,-0.5146212713313351,3.7092343865030943,0.0,0.3352163031819806,0.3125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.06757849424079412,-0.04767621591285216,0.0,0.0,-0.7038970325348587,-0.7916666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
-0.09354147513765972,-0.11439523968216432,0.0,0.0,-0.5789059706828743,-0.6875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
-0.0476967979985389,-0.027620130536762353,0.0,0.0,-0.6873078298176617,-0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
-0.09354147513765972,-0.1200909967253167,0.0,0.0,-0.5580264569181266,-0.5208333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.48852351132071925,0.032984589375668394,3.949785940242076,0.0,0.2233821952091527,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.122683337417585,1.0108537701217934,0.0,0.0,0.1358598498391133,0.2708333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
-0.004244766697508642,-0.04260330956942365,0.0,0.0,-0.4713621737575975,-0.5208333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
-0.010996701648864675,-0.060909065441145854,0.0,0.0,-0.43818376832320355,-0.3958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.9437231054561311,0.7587439526672388,0.0,1.496712867473312,0.11669646049338571,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1.0219969423544624,0.8097602403021623,0.0,1.496712867473312,0.15387915623882717,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1.25949576645091,1.1108586187233562,0.0,2.483683010306863,0.1916338934572757,0.3958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1.0502944928079334,0.41316470559621277,0.8144013054833287,1.496712867473312,0.29002502681444403,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
-0.001814307446062482,-0.032576025350625655,0.0,0.0,-0.49367179120486243,-0.9791666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,-0.032576025350625655,0.0,0.0,-0.4870933142652842,-0.9583333333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
-0.001814307446062482,-0.0220021588193452,0.0,0.0,-0.5265641759027527,-0.6458333333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
-0.001814307446062482,-0.03471164623348583,0.0,0.0,-0.4870933142652842,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1.3200791381453576,1.4226579882577302,0.0,2.9739865303108277,0.11498033607436525,-0.22916666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1.257070222510674,1.1630222332330487,0.0,2.483683010306863,0.17161244190203787,0.1875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1.2716494563268907,1.1978647665251703,0.0,2.9739865303108277,0.16846621380050053,0.20833333333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1.3266065564137521,1.3432251436632072,0.0,2.9739865303108277,0.15302109402931693,0.3125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
-0.03578226067142873,-0.06913396365695208,0.0,0.0,-0.5025384340364678,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.08037362190072649,-0.5146212713313351,3.78125641529378,0.0,0.3352163031819806,0.2916666666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
-0.09354147513765972,-0.5146212713313351,2.0711391139531945,0.0,0.3352163031819806,0.5416666666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
-0.08326684350013246,-0.10555141809337948,0.0,0.0,-0.5671791204862351,-0.5833333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
-0.03382668012281999,-0.5146212713313351,4.324198912396534,0.0,0.3352163031819806,0.041666666666666664,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
-0.06757849424079412,-0.5146212713313351,3.7008677796633394,0.0,0.3352163031819806,0.1875,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
-0.08326684350013246,-0.05059317863331809,0.0,0.0,-0.762531283518055,-0.4166666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
1.2456268633433827,1.1748712368643854,0.0,2.483683010306863,0.1590275294958885,-0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.1977493489507072,-0.5146212713313351,4.63391018593844,0.0,0.3352163031819806,0.08333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
1.2685229836689522,1.370006127325471,0.0,2.9739865303108277,0.09181265641759008,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
1.3492567358507364,1.4998359236411445,0.0,3.462199187870957,0.10754379692527721,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
1.2522175610767485,1.201221984171194,0.0,2.483683010306863,0.15330711476582048,-0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.2119363270059673,1.4055449852565212,0.0,2.483683010306863,0.010296746514122256,-0.041666666666666664,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.2695796774659838,1.299947964439436,0.0,2.9739865303108277,0.12527708258848752,0.5625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.183041821001126,0.8115840998689691,0.0,2.483683010306863,0.24340364676439052,0.7291666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.112083214628404,0.9431233818724528,1.265508707896153,1.9912660967360785,0.15874150875938495,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1.250702217893496,1.6421356103051266,0.0,2.483683010306863,-0.09124061494458341,-0.2708333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
